date,netPnl,slippage,commission,turnover,tradeCount,tradingPnl,positionPnl,totalPnl,balance,return,retWithoutFee,highlevel,drawdown,ddPercent
2015-10-27,512.4000000000055,0.0,0.0,0.0,0,0.0,512.4000000000055,512.4000000000055,42306.84079999997,0.5124000000000055,0.5124000000000055,62078.22619999999,-19771.38540000002,-31.849146810834654
2015-10-28,-4001.5999999999945,0.0,0.0,0.0,0,0.0,-4001.5999999999945,-4001.5999999999945,38305.24079999998,-4.0015999999999945,-4.0015999999999945,62078.22619999999,-23772.985400000012,-38.295207281550866
2015-10-29,1647.0,0.0,0.0,0.0,0,0.0,1647.0,1647.0,39952.24079999998,1.647,1.647,62078.22619999999,-22125.985400000012,-35.64210312439632
2015-10-30,-48.800000000011096,0.0,0.0,0.0,0,0.0,-48.800000000011096,-48.800000000011096,39903.44079999997,-0.0488000000000111,-0.0488000000000111,62078.22619999999,-22174.785400000022,-35.720713617941655
2015-11-02,-2208.199999999989,0.0,0.0,0.0,0,0.0,-2208.199999999989,-2208.199999999989,37695.24079999998,-2.208199999999989,-2.208199999999989,62078.22619999999,-24382.985400000012,-39.27783845086736
2015-11-03,-1610.4000000000055,0.0,0.0,0.0,0,0.0,-1610.4000000000055,-1610.4000000000055,36084.84079999997,-1.6104000000000056,-1.6104000000000056,62078.22619999999,-25993.38540000002,-41.871984737862924
2015-11-04,13090.599999999995,0.0,0.0,0.0,0,0.0,13090.599999999995,13090.599999999995,49175.44079999997,13.090599999999995,13.090599999999995,62078.22619999999,-12902.785400000022,-20.7847198443309
2015-11-05,2879.2000000000166,0.0,0.0,0.0,0,0.0,2879.2000000000166,2879.2000000000166,52054.64079999999,2.879200000000017,2.879200000000017,62078.22619999999,-10023.585400000004,-16.146700725157004
2015-11-06,6990.599999999995,0.0,0.0,0.0,0,0.0,6990.599999999995,6990.599999999995,59045.240799999985,6.990599999999995,6.990599999999995,62078.22619999999,-3032.985400000005,-4.885747524789949
2015-11-09,1366.4000000000055,0.0,0.0,0.0,0,0.0,1366.4000000000055,1366.4000000000055,60411.640799999994,1.3664000000000056,1.3664000000000056,62078.22619999999,-1666.5853999999963,-2.684653705520981
2015-11-10,36.59999999999445,0.0,0.0,0.0,0,0.0,36.59999999999445,36.59999999999445,60448.240799999985,0.03659999999999445,0.03659999999999445,62078.22619999999,-1629.985400000005,-2.6256958353620052
2015-11-11,1830.0,0.0,0.0,0.0,0,0.0,1830.0,1830.0,62278.240799999985,1.83,1.83,62278.240799999985,0.0,0.0
2015-11-12,-5164.6626000000115,0.305,113.5576,227115.19999999998,1,-2049.600000000022,-3001.199999999989,-5050.800000000011,57113.578199999974,-5.164662600000011,-5.050800000000011,62278.240799999985,-5164.662600000011,-8.292884535042955
2015-11-13,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,57113.578199999974,0.0,0.0,62278.240799999985,-5164.662600000011,-8.292884535042955
2015-11-16,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,57113.578199999974,0.0,0.0,62278.240799999985,-5164.662600000011,-8.292884535042955
2015-11-17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,57113.578199999974,0.0,0.0,62278.240799999985,-5164.662600000011,-8.292884535042955
2015-11-18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,57113.578199999974,0.0,0.0,62278.240799999985,-5164.662600000011,-8.292884535042955
2015-11-19,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,57113.578199999974,0.0,0.0,62278.240799999985,-5164.662600000011,-8.292884535042955
2015-11-20,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,57113.578199999974,0.0,0.0,62278.240799999985,-5164.662600000011,-8.292884535042955
